0,91,68
1,91,68
2,92,66
3,93,67
4,94,67
5,94,68
6,94,69
7,91,66
8,90,66
9,91,65
10,90,64
11,90,64
12,90,64
13,89,63
14,90,62
15,91,62
16,90,61
17,92,60
18,91,60
19,91,59
20,91,59
21,91,59
22,91,58
23,91,58
24,94,56
25,96,55
26,96,55
27,97,54
28,98,54
29,98,53
30,98,53
31,98,52
32,99,52
33,99,51
34,99,51
35,100,50
36,100,49
37,100,49
38,101,48
39,101,48
40,101,47
41,101,47
42,102,46
43,102,46
44,102,45
45,103,45
46,87,55
47,87,55
48,81,58
49,81,58
50,81,58
51,80,58
52,80,58
53,70,62
54,65,64
55,64,64
56,63,64
57,62,65
58,61,65
59,61,65
60,60,65
61,59,65
62,58,66
63,57,66
64,56,66
65,55,66
66,54,66
67,53,67
68,59,67
69,61,68
70,60,68
71,61,68
72,61,68
73,60,68
74,60,68
75,63,65
76,65,63
77,66,60
78,66,60
79,66,59
80,69,57
81,72,55
82,73,54
83,73,54
84,73,53
85,73,53
86,73,53
87,73,52
88,73,52
89,74,51
90,74,51
91,74,51
92,94,48
93,95,48
94,96,47
95,97,47
96,98,46
97,99,46
98,100,45
99,101,45
100,108,47
101,109,46
102,109,49
103,108,50
104,109,50
105,106,51
106,107,50
107,103,51
108,100,51
109,101,51
110,97,51
111,98,50
112,94,50
113,92,50
114,89,50
115,88,49
116,86,49
117,84,49
118,83,49
119,82,49
120,80,48
121,79,48
122,78,48
123,78,48
124,77,48
125,77,48
126,76,48
127,76,48
128,75,48
129,74,48
130,74,48
131,73,47
132,73,47
133,73,48
134,74,48
135,73,48
136,73,48
137,72,48
138,72,47
139,71,47
140,71,47
141,70,47
142,70,47
143,69,47
144,69,47
145,69,47
146,77,48
147,76,48
148,80,48
149,80,48
150,80,48
151,80,48
152,80,48
153,80,48
154,81,48
155,81,48
156,81,47
157,83,48
158,83,48
159,84,48
160,84,48
161,84,49
162,84,49
163,85,49
164,84,50
165,85,50
166,85,50
167,85,51
168,86,51
169,86,52
170,86,53
171,86,53
172,86,54
173,87,54
174,87,54
175,87,55
176,87,55
177,87,55
178,88,55
179,88,56
180,88,56
181,89,57
182,90,58
183,91,58
184,92,58
185,92,59
186,93,59
187,94,59
188,94,60
189,96,61
190,99,62
191,100,64
192,102,65
193,103,66
194,103,67
195,104,67
196,105,68
197,105,68
198,106,69
199,107,69
200,107,70
201,108,70
202,109,71
203,109,71
204,110,72
205,111,72
206,111,73
207,112,73
208,113,74
209,114,74
210,114,75
211,115,75
212,116,76
213,116,76
214,117,77
215,103,62
216,103,62
217,94,57
218,89,55
219,85,54
220,81,53
221,78,53
222,75,53
223,72,53
224,69,53
225,68,52
226,66,53
227,65,53
228,64,53
229,64,54
230,63,54
231,62,53
232,61,53
233,60,53
234,59,53
235,58,53
236,57,53
237,56,53
238,55,52
239,54,52
240,53,52
241,51,52
242,50,52
243,49,52
244,48,52
245,78,59
246,79,59
247,87,61
248,91,62
249,93,62
250,94,62
251,95,62
252,95,62
253,95,61
254,94,61
255,94,60
256,93,60
